y,x,twi,tri,spi,slope,water_distance,profile_curvature,plan_curvature,ndvi_2019,hillshade,geologia,dusaf,aspect,dtm_milan,geo_0,geo_1,geo_2,geo_3,geo_4,geo_5,geo_6,lc_11,lc_12,lc_14,lc_21,lc_22,lc_23,lc_31,lc_32,lc_33,lc_41,lc_51,flooded
5025087.5,488092.5,6.762234,0.43708104,-10.451303,1.6563069,104.04327,0.20586282,0.24184304,0.8200954,176.0,0,31,150.53,94.864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000.0
5035212.5,483937.5,5.788986,4.968337,3.6443017,20.938631,122.06555,5.310017,1.9460033,0.45381525,116.0,0,32,170.06744,117.742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000.0
5037522.5,482357.5,11.411487,0.5620699,3.969322,1.3948066,145.7738,0.562631,-1.1974093,0.7979709,180.0,0,31,54.10607,121.437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000.0
5013407.5,498502.5,7.4996424,0.40553495,-11.18871,0.7924682,61.846584,0.069128364,0.26911005,0.021791743,178.0,0,33,115.594055,69.127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2000.0
5036887.5,482332.5,7.0622706,0.32666034,-10.751339,1.2271314,120.83046,-0.4510129,0.3970706,0.8115183,178.0,0,31,177.4585,120.424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000.0
5019307.5,493257.5,10.80065,0.3296929,2.8313513,1.0803149,98.48858,1.0917128,-0.46825424,0.83006865,183.0,0,31,349.227,80.827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000.0
5025852.5,488297.5,8.923062,0.24315205,-1.7923115,0.38181216,73.82411,0.20032966,0.12431038,-0.013474507,180.0,0,51,76.324905,94.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000.0
5041657.5,478027.5,7.6086206,0.31815737,-0.47787032,1.4210905,42.426407,0.43623444,-0.087813415,0.11377711,185.0,0,11,331.731,134.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
5018712.5,494867.5,7.038694,0.57269764,0.0920563,2.5115888,67.26812,-0.2882644,0.4317063,0.35960183,188.0,0,21,332.83685,81.492,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
5037557.5,514962.5,5.114878,2.8922296,-8.803949,8.540166,612.41327,-5.477088,0.3589106,0.2649635,168.0,1,11,69.302086,125.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5035787.5,483922.5,9.076062,0.4226389,1.0991772,1.1466188,138.92444,-0.11340693,-0.91742307,0.81498986,180.0,0,31,210.88922,117.709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000.0
5041912.5,541312.5,5.418762,2.8496277,1.7119821,12.496553,333.0165,-3.012252,0.069992885,0.78898656,215.0,0,31,308.06616,121.05786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2002.0
5034982.5,484087.5,11.481741,0.6794071,2.09469,0.53198075,332.453,1.6481242,-2.1158528,0.7777778,179.0,0,31,145.75238,115.564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000.0
